,Client1__Finaltime,Client1_deploytime,Client1_iteration,Client1_la,Client1_la_time,Client1_time,Client1_usingDevice,Client2__Finaltime,Client2_deploytime,Client2_iteration,Client2_la,Client2_la_time,Client2_time,Client2_usingDevice,Client3__Finaltime,Client3_deploytime,Client3_iteration,Client3_la,Client3_la_time,Client3_time,Client3_usingDevice,max_roundtime,total_roundtime,acc_aggre
Round1,170.3225630378555,6.285501399215257,500.0,None,0.0,170.3225630378555,Client1,,,,,,,,1859.0038440648664,6.052640943618814,500.0,None,0.0,1859.0038440648664,Client3,1865.2893454640816,1865.2893454640816,0.040871052147579516
Round2,170.02756627993486,5.921039360402599,500.0,None,0.0,170.02756627993486,Client1,3647.1594160862314,6.091876220181753,500.0,None,0.0,3647.1594160862314,Client2,,,,,,,,3653.2512923064132,3653.2512923064132,0.08152930733753153
Round3,,,,,,,,3646.389667270038,6.303861888584847,500.0,None,0.0,3646.389667270038,Client2,1859.610573018432,5.219596752940978,500.0,None,0.0,1859.610573018432,Client3,3652.693529158623,3652.693529158623,0.15060855069082335
Round4,170.36975817296045,5.985178433910131,500.0,None,0.0,170.36975817296045,Client1,3646.897257822501,5.4603622008489054,500.0,None,0.0,3646.897257822501,Client2,,,,,,,,3652.8824362564114,3652.8824362564114,0.1896554933608844
Round5,170.04649260184007,6.1308657699157365,500.0,None,0.0,170.04649260184007,Client1,3646.7028092232376,5.513930145326949,500.0,None,0.0,3646.7028092232376,Client2,,,,,,,,3652.833674993153,3652.833674993153,0.2277679132309901
Round6,,,,,,,,3646.4676458613344,6.1070378855585945,500.0,None,0.0,3646.4676458613344,Client2,1859.3214470112723,5.56723842056333,500.0,None,0.0,1859.3214470112723,Client3,3652.574683746893,3652.574683746893,0.2909067587907904
Round7,,,,,,,,3646.1457621250775,6.08994225730206,500.0,None,0.0,3646.1457621250775,Client2,1859.0080329047166,5.215241428473491,500.0,None,0.0,1859.0080329047166,Client3,3652.2357043823795,3652.2357043823795,0.3501284026141594
Round8,170.0762100071871,5.076580652396123,500.0,None,0.0,170.0762100071871,Client1,3647.1614337691067,5.837493362385806,500.0,None,0.0,3647.1614337691067,Client2,,,,,,,,3652.9989271314926,3652.9989271314926,0.3824480851682481
Round9,170.10417458988428,5.504413810567256,500.0,None,0.0,170.10417458988428,Client1,3646.080004690367,5.716886977422506,500.0,None,0.0,3646.080004690367,Client2,,,,,,,,3651.796891667789,3651.796891667789,0.4132266852745412
Round10,170.3111013134168,5.2407687311231435,500.0,None,0.0,170.3111013134168,Client1,,,,,,,,1859.9374836436618,5.19277212283522,500.0,None,0.0,1859.9374836436618,Client3,1865.178252374785,1865.178252374785,0.44242261293798857
